INDIV_ID,ANNOT_ID,CAMID,DATETIME,IMAGE_ID,SEQUENCE_UUID,FILEPATH
7,47817,M1,2020-04-24 17:35:00,M1_20_04_27_STC_5783_100STLTH,7ef455de-c1bc-4399-aafd-884c3bc603c9,GGR_Cams 3_Main/M1/20_04_27/DCIM/100STLTH/STC_5783.JPG
7,47818,M1,2020-04-24 17:57:00,M1_20_04_27_STC_5899_100STLTH,3612569f-533f-4287-adee-bde3a38672cb,GGR_Cams 3_Main/M1/20_04_27/DCIM/100STLTH/STC_5899.JPG
7,48352,M2,2020-03-13 07:30:00,M2_20_03_26_STC_4223_100STLTH,eb53eb5d-21de-4c11-86cb-a81208a5c92f,GGR_Cams 2_Main/M2/20_03_26/DCIM/100STLTH/STC_4223.JPG
7,48357,M2,2020-03-26 09:32:00,M2_20_03_26_STC_6644_100STLTH,ceeff703-93a5-4bf3-82f3-03f77fb2fe76,GGR_Cams 2_Main/M2/20_03_26/DCIM/100STLTH/STC_6644.JPG
7,48390,R16,2020-03-05 18:43:00,R16_20_03_13_STC_0459_100STLTH,a92885af-8904-44bd-97c8-925641575b77,GGR_Cams 2_Main/R16/20_03_13/DCIM/100STLTH/STC_0459.JPG
7,48458,R24,2020-03-08 15:27:00,R24_20_03_10_STC_3124_100STLTH,841c784a-3f7d-453c-9f2e-74ac990005bf,GGR_Cams 2_Main/R24/20_03_10/DCIM/100STLTH/STC_3124.JPG
7,49492,R33,2020-02-12 09:03:00,R33_20_02_13_STC_1822_100STLTH,8909ba13-796c-42b5-84ae-ea4033f3fb4b,GGR_cams_1/R33/20_02_13/DCIM/100STLTH/STC_1822.JPG
8,48250,M1,2020-03-19 06:36:00,M1_20_03_23_STC_1784_100STLTH,afbafc32-40a0-4b77-9b99-ff16a328c0c9,GGR_Cams 2_Main/M1/20_03_23/DCIM/100STLTH/STC_1784.JPG
9,49193,R12,2020-02-01 11:12:00,R12_20_02_11_STC_0089_100STLTH,586a3517-fc24-42b7-921e-7a3cde6cc8ef,GGR_cams_1/R12/20_02_11/DCIM/100STLTH/STC_0089.JPG
9,48034,R24,2020-02-02 09:47:00,R24_20_02_11_STC_1136_100STLTH,19600b52-933e-4196-9e0d-74d191dc74f2,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_1136.JPG
9,49343,R24,2020-02-05 11:14:00,R24_20_02_11_STC_2306_100STLTH,aeca78df-1375-4401-949e-e8b7fa8c9b23,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_2306.JPG
9,48036,R24,2020-02-05 12:37:00,R24_20_02_11_STC_2335_100STLTH,2a0fb0bd-c340-4e66-bfb5-39887109f053,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_2335.JPG
9,49345,R24,2020-02-06 18:56:00,R24_20_02_11_STC_2545_100STLTH,2f0d894d-9def-4dcc-8ced-154c6c7f5146,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_2545.JPG
9,49347,R24,2020-02-07 12:35:00,R24_20_02_11_STC_2677_100STLTH,70ec048e-621a-4410-8dee-adae242ee344,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_2677.JPG
9,49348,R24,2020-02-08 12:17:00,R24_20_02_11_STC_2822_100STLTH,80ed6e21-555e-491e-a48f-1f672f53cffc,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_2822.JPG
9,49349,R24,2020-02-09 11:29:00,R24_20_02_11_STC_3808_100STLTH,ed83ae65-8331-43dc-9382-3cee215e6b40,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_3808.JPG
9,49350,R24,2020-02-09 11:36:00,R24_20_02_11_STC_3855_100STLTH,bd6126eb-937f-4b45-9f33-2c3c5e12f956,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_3855.JPG
9,49351,R24,2020-02-09 11:43:00,R24_20_02_11_STC_3941_100STLTH,35f828da-1dbc-400a-9772-a9fad3854edf,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_3941.JPG
9,49352,R24,2020-02-09 12:24:00,R24_20_02_11_STC_4006_100STLTH,f20ea0b8-0443-43c2-be76-a685e22cfbf0,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_4006.JPG
9,48043,R24,2020-02-10 08:43:00,R24_20_02_11_STC_4460_100STLTH,edeecfb0-4985-4e02-acbb-6be7e2483755,GGR_cams_1/R24/20_02_11/DCIM/100STLTH/STC_4460.JPG
9,49354,R24,2020-02-11 16:20:00,R24_20_02_25_STC_0069_100STLTH,9834aba3-d316-4fef-9089-5da2fdfc9990,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_0069.JPG
9,49360,R24,2020-02-13 10:41:00,R24_20_02_25_STC_0993_100STLTH,15a081e4-5472-4cc5-911b-f16564a8e021,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_0993.JPG
9,49361,R24,2020-02-13 18:22:00,R24_20_02_25_STC_1235_100STLTH,ac480847-fcb7-484b-a65d-b50066bee80b,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_1235.JPG
9,49365,R24,2020-02-15 07:45:00,R24_20_02_25_STC_1745_100STLTH,7ff399bb-16b2-4e07-8a68-c144fc83f3e2,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_1745.JPG
9,49366,R24,2020-02-15 11:35:00,R24_20_02_25_STC_1791_100STLTH,a6006452-bc08-4dfb-92f0-0c83011e4aca,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_1791.JPG
9,48046,R24,2020-02-15 13:28:00,R24_20_02_25_STC_1795_100STLTH,82a0c30e-5b0e-4a03-84db-3af2803f84f4,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_1795.JPG
9,49368,R24,2020-02-16 14:23:00,R24_20_02_25_STC_2222_100STLTH,37cefe1c-4cea-4e82-9483-4642c8af4ba5,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_2222.JPG
9,49370,R24,2020-02-17 08:30:00,R24_20_02_25_STC_2922_100STLTH,e13e12b0-bddc-4f5c-94af-8ec1f6f55e14,GGR_cams_1/R24/20_02_25/DCIM/100STLTH/STC_2922.JPG
